Roll Year,Jurisdiction,Neigh Code,Neigh Description,Situs Street Address,Situs City,Legal Description,First PID,Property Class,Property SubClass,Previous Roll Value,Actual Value Land Total,Actual Value Impr Total,Actual Value Total,Predominant Manual Class Code,Primary Actual Use Code
2024,Township of Esquimalt,307240,North Esquimalt, TREEBANK,ESQUIMALT,"DISTRICT LOT 155, ESQUIMALT LAND DISTRICT, FRONTING LOT 1 PL 36276 FOR CONSTRUCTING & MAINTAINING A PUBLIC PROMENADE PURPOSES,, LEASE/PERMIT/LICENCE # 905343",,08,,265000,319000,0,319000,,"601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307240,North Esquimalt, TREEBANK,ESQUIMALT,"DISTRICT LOT 155, ESQUIMALT LAND DISTRICT, FRONTING LOT 1 PL 36276 FOR CONSTRUCTING & MAINTAINING A PUBLIC PROMENADE PURPOSES,, LEASE/PERMIT/LICENCE # 905343",,08,,265000,319000,0,319000,,"601 - Civic, Institutional & Recreational (Vacant)"
2024,Township of Esquimalt,307210,West Esquimalt,1001 MAPLEBANK,ESQUIMALT,"ESQUIMALT LAND DISTRICT, WATER LOT KNOWN AS PCL C FRONTING LOT 1 SEC 2 PL 32281",,08,,2501000,2501000,0,2501000,,505 - Marine & Navigational Facilities (Includes Ferry
2024,Township of Esquimalt,307250,Esquimalt Waterfront,303 PLASKETT,ESQUIMALT,"LOT 2, PLAN VIS878, SECTION 11, ESQUIMALT LAND DISTRICT, FORESHORE FRONTING ON  FLEMING BAY-PRIVATE MOORAGE",,01,0102,14500,2000,12100,14100,1814 - Wharf - Light Construction,020 - Residential Outbuilding Only
2024,Township of Esquimalt,307250,Esquimalt Waterfront,303 PLASKETT,ESQUIMALT,"LOT 2, PLAN VIS878, SECTION 11, ESQUIMALT LAND DISTRICT, FORESHORE FRONTING ON  FLEMING BAY-PRIVATE MOORAGE",,01,0102,14500,2000,12100,14100,1814 - Wharf - Light Construction,020 - Residential Outbuilding Only
2024,Township of Esquimalt,307250,Esquimalt Waterfront,1013 ARCADIA,ESQUIMALT,"STRATA LOT 2, PLAN VIS5535, SECTION 10, ESQUIMALT LAND DISTRICT, FORESHORE FRONTING ON GORGE WATERS - PRIVATE MOORAGE",,01,0102,4800,2000,2600,4600,1818 - Float - Light Duty,020 - Residential Outbuilding Only
2024,Township of Esquimalt,307250,Esquimalt Waterfront,1013 ARCADIA,ESQUIMALT,"STRATA LOT 2, PLAN VIS5535, SECTION 10, ESQUIMALT LAND DISTRICT, FORESHORE FRONTING ON GORGE WATERS - PRIVATE MOORAGE",,01,0102,4800,2000,2600,4600,1818 - Float - Light Duty,020 - Residential Outbuilding Only
2024,Township of Esquimalt,307200,Continuous Structures, ,ESQUIMALT,"ESQUIMALT LAND DISTRICT, DISTRIBUTION LINES",,02,0201,2183000,0,2362000,2362000,8008 - Non-Manualized Structures - Ind,580 - Electrical Power Systems (Including Non-Utility
2024,Township of Esquimalt,307200,Continuous Structures, ,ESQUIMALT,"ESQUIMALT LAND DISTRICT, TRANSMISSION LINES",,02,0201,1790000,0,1935000,1935000,8008 - Non-Manualized Structures - Ind,580 - Electrical Power Systems (Including Non-Utility
2024,Township of Esquimalt,307200,Continuous Structures, ,ESQUIMALT,"ESQUIMALT LAND DISTRICT, GAS DISTRIBUTION SYSTEM",,02,"0201, 0202",5891000,0,6090000,6090000,8008 - Non-Manualized Structures - Ind,550 - Gas Distribution Systems
2024,Township of Esquimalt,307200,Continuous Structures, ,ESQUIMALT,"ESQUIMALT LAND DISTRICT, TELEPHONE POLE LINES 9235 ACCESS LINES",,02,"0201, 0202",1756000,0,1645000,1645000,8008 - Non-Manualized Structures - Ind,520 - Telephone
2024,Township of Esquimalt,307210,West Esquimalt, ,ESQUIMALT,"ESQUIMALT LAND DISTRICT, CABLE & AMPLIFIERS",,02,"0201, 0202",1321000,0,1291000,1291000,8008 - Non-Manualized Structures - Ind,540 - Community Antenna Television (Cablevision)
2024,Township of Esquimalt,307210,West Esquimalt,785 LAMPSON,ESQUIMALT,"PARCEL A, LOT 21, BLOCK E, PLAN VIP195C, SECTION 10, ESQUIMALT LAND DISTRICT, (DD 48844I) OF LOTS 21 & 22",009-293-299,06,,4887000,3138000,2418000,5556000,"C406 - Warehouse, Storage",273 - Storage & Warehousing (Closed)
2024,Township of Esquimalt,307210,West Esquimalt, DEVONSHIRE,ESQUIMALT,"LOT 4, PLAN VIP6107, SECTION 10, ESQUIMALT LAND DISTRICT",004-964-136,06,,540000,648000,0,648000,,201 - Vacant IC&I
2024,Township of Esquimalt,307210,West Esquimalt,1000 WURTELE,ESQUIMALT,"LOT A, PLAN VIP66612, SECTION 10 & 11, ESQUIMALT LAND DISTRICT, PT LOT A - LEASE GCMK-506-0301 WITHIN SRW LEASED TO ESQUIMALT MUNICIPALITY FOR RD ENCROACHMENT (.247A)",,06,,414000,497000,0,497000,,201 - Vacant IC&I
2024,Township of Esquimalt,307210,West Esquimalt,1000 WURTELE,ESQUIMALT,"LOT A, PLAN VIP66612, SECTION 10 & 11, ESQUIMALT LAND DISTRICT, PT LOT A - LEASE GCMK-506-0301 WITHIN SRW LEASED TO ESQUIMALT MUNICIPALITY FOR RD ENCROACHMENT (.247A)",,06,,414000,497000,0,497000,,201 - Vacant IC&I
2024,Township of Esquimalt,307210,West Esquimalt, ,ESQUIMALT,"ESQUIMALT LAND DISTRICT, MAINLINE TRACK WITHIN ESQUIMALT. MILE 1.333 TO 3.122",,02,0201,44300,0,46600,46600,8008 - Non-Manualized Structures - Ind,500 - Railway
2024,Township of Esquimalt,307210,West Esquimalt, ,ESQUIMALT,"LOT A, PLAN VIP65446, ESQUIMALT LAND DISTRICT",023-795-212,02,0201,207000,262000,0,262000,,500 - Railway
2024,Township of Esquimalt,307210,West Esquimalt, ,ESQUIMALT,,023-795-212,02,0201,207000,262000,0,262000,,500 - Railway
2024,Township of Esquimalt,307200,Continuous Structures, ,ESQUIMALT,"ESQUIMALT LAND DISTRICT, 1.789 MILES FIBRE OPTIC CABLE ON THE E & N SRW",,02,0201,53100,0,57700,57700,8008 - Non-Manualized Structures - Ind,525 - Fiberoptic Conduit
2024,Township of Esquimalt,307200,Continuous Structures, ,ESQUIMALT,"ESQUIMALT LAND DISTRICT, PTN FIBRE OPTIC CABLE LOCATED IN ESQUIMALT",,02,0201,91900,0,121000,121000,8008 - Non-Manualized Structures - Ind,525 - Fiberoptic Conduit
2024,Township of Esquimalt,307200,Continuous Structures, ,ESQUIMALT,"ESQUIMALT LAND DISTRICT, PTN FIBRE OPTIC CABLE LOCATED IN ESQUIMALT",,02,0201,113000,0,122000,122000,8008 - Non-Manualized Structures - Ind,525 - Fiberoptic Conduit
